"18. 우울감 경험률","","","정의","최근 1년 동안 연속적으로 2주 이상 일상생활에 지장이 있을 정도의 우울감(슬픔이나 절망감 등)을 경험한 사람의 분율","","","","","","","","","","","","","","","",""
"","","","분자","최근 1년 동안 연속적으로 2주 이상 일상생활에 지장이 있을 정도의 우울감(슬픔이나 절망감 등)을 경험한 사람의 수","","","","","","","","","","","","","","","",""
"","","","분모","조사대상 응답자 수","","","","","","","","","","","","","","","",""
"","","","비고","%","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"부록표 1-18. 시·도별 성·연령별 우울감 경험률 추이","","","","","","","","","","","","","","","","","","","","(단위: %(표준오차))"
"구분","","","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","95% CI"
"","남","","4.9(0.6)","6.6(0.6)","4.2(0.5)","2.8(0.4)","3.2(0.4)","4.7(0.5)","4.4(0.5)","5.9(0.6)","5.4(0.6)","4.6(0.6)","3.4(0.4)","2.7(0.4)","3.5(0.4)","5.0(0.5)","5.6(0.6)","6.2(0.5)","4.8(0.5)","3.9-5.7"
"","여","","8.8(0.6)","8.5(0.6)","7.9(0.6)","5.7(0.5)","5.5(0.6)","9.3(0.6)","7.8(0.5)","9.5(0.7)","9.3(0.7)","6.2(0.5)","6.0(0.5)","5.8(0.5)","6.1(0.6)","8.4(0.6)","8.4(0.6)","10.3(0.7)","7.3(0.6)","6.2-8.5"
"","19-29","","4.6(1.0)","6.0(0.9)","4.5(0.9)","3.4(0.6)","5.0(0.9)","5.7(0.8)","4.8(0.9)","7.6(1.1)","7.7(1.0)","8.4(1.2)","4.3(0.7)","4.2(0.9)","4.3(0.8)","3.9(0.8)","5.7(1.0)","7.2(1.0)","5.6(1.0)","3.7-7.6"
"","30-39","","6.4(0.8)","5.6(0.7)","4.9(0.8)","4.9(0.8)","3.2(0.5)","5.4(0.8)","5.2(0.8)","6.9(0.9)","7.2(1.1)","5.9(0.9)","5.0(1.0)","3.9(0.7)","4.8(0.8)","6.3(0.9)","5.6(0.9)","6.5(1.1)","5.6(0.9)","3.9-7.3"
"","40-49","","7.8(0.9)","6.5(1.0)","5.2(0.9)","3.6(0.6)","4.0(0.7)","7.6(1.1)","5.1(0.8)","6.3(0.9)","6.3(1.0)","4.4(0.7)","4.8(0.9)","4.0(0.7)","4.8(0.8)","7.9(1.0)","7.0(1.0)","7.4(1.0)","5.2(0.9)","3.5-6.9"
"","50-59","","8.5(1.4)","9.0(1.1)","8.4(1.0)","3.9(0.7)","4.9(0.8)","8.6(1.0)","7.2(0.9)","8.3(1.0)","6.1(0.8)","4.3(0.6)","3.9(0.7)","4.3(0.7)","5.8(0.8)","7.1(1.1)","5.9(0.8)","9.8(1.1)","6.3(0.9)","4.5-8.0"
"","60-69","","7.1(1.3)","11.8(1.7)","8.9(1.2)","5.4(1.0)","5.9(1.4)","7.1(1.1)","7.5(1.2)","9.4(1.3)","9.0(1.3)","3.4(0.7)","4.4(0.7)","4.8(0.8)","4.9(0.8)","7.1(0.9)","10.0(1.1)","10.1(1.1)","5.8(1.0)","3.8-7.7"
"","70이상","","8.4(1.2)","14.0(2.2)","8.5(1.4)","6.3(1.6)","3.9(0.8)","8.8(1.5)","10.1(1.5)","9.8(1.3)","10.2(1.4)","5.5(1.1)","6.5(1.0)","4.2(0.7)","4.2(0.7)","8.7(1.1)","8.9(1.0)","8.7(1.2)","8.5(1.2)","6.1-10.8"
"울산","N","(명)","4,507","4,604","4,568","4,568","4,594","4,574","4,577","4,567","4,553","4,549","4,552","4,551","4,555","4,554","4,554","4,554","4,550",""
"","전체","(조율)","5.4(0.4)","5.3(0.4)","5.4(0.3)","3.6(0.3)","3.0(0.3)","3.6(0.3)","5.3(0.4)","4.8(0.3)","3.8(0.3)","4.4(0.3)","4.7(0.4)","5.4(0.4)","5.4(0.4)","6.5(0.4)","8.1(0.5)","8.6(0.5)","7.5(0.4)","6.7-8.4"
"","","(표준화율)","5.6(0.4)","5.4(0.3)","5.5(0.3)","3.7(0.3)","3.1(0.3)","3.6(0.3)","5.3(0.4)","4.8(0.4)","3.8(0.3)","4.4(0.3)","4.8(0.4)","5.4(0.4)","5.5(0.4)","6.3(0.4)","7.8(0.5)","8.6(0.5)","7.2(0.4)","6.3-8.0"
"","남","","3.6(0.5)","3.7(0.4)","3.7(0.4)","1.7(0.3)","1.9(0.3)","2.7(0.4)","4.0(0.5)","2.5(0.4)","2.1(0.4)","2.5(0.4)","3.3(0.4)","3.4(0.5)","4.1(0.4)","4.4(0.5)","6.2(0.6)","7.5(0.6)","5.0(0.5)","4.1-6.0"
"","여","","7.3(0.7)","6.8(0.5)","7.2(0.5)","5.5(0.5)","4.2(0.4)","4.6(0.4)","6.7(0.6)","7.3(0.5)","5.6(0.5)","6.3(0.5)","6.1(0.6)","7.4(0.6)","6.9(0.5)","8.7(0.7)","10.0(0.7)","9.8(0.6)","10.2(0.7)","8.9-11.5"
"","19-29","","2.6(0.7)","4.1(0.7)","3.1(0.7)","2.8(0.7)","2.6(0.7)","3.2(0.7)","4.4(0.9)","3.9(0.8)","3.2(0.7)","3.7(0.9)","5.9(1.0)","5.6(1.0)","5.1(0.9)","5.2(0.9)","6.4(1.4)","9.8(1.6)","6.1(1.1)","4.0-8.2"
