"","구 분","","’98","","","’01","","","’05","","","’07","","","’08","","","’09","","","’10","","","’11","","","’12","","","’13","","","’14","","","’15","","","’16","","","’17","","","’18","","","’19","","","’20","","","’21","","","’22","","","’23","",""
"","","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)",""
"","","19세이상(표준화)","-","-","-","-","-","-","3,510","0.9","(0.2)","1,238","1.4","(0.4)*","2,837","1.4","(0.2)","3,236","1.5","(0.2)","2,704","1.3","(0.2)","2,560","1.9","(0.4)","2,309","1.2","(0.3)","-","-","-","-","-","-","2,352","1.7","(0.3)","2,592","2.2","(0.4)","2,718","2.5","(0.3)","2,713","1.9","(0.3)","2,745","2.7","(0.4)","2,626","2.7","(0.4)","2,482","2.8","(0.4)","2,287","3.2","(0.5)","2,517","3.4","(0.5)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","연령(세)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",""," 19-29","-","-","-","-","-","-","583","0.9","(0.4)*","141","2.0","(1.2)**","366","2.0","(0.7)*","485","1.7","(0.7)*","307","0.8","(0.5)**","288","2.8","(1.2)*","253","0.4","(0.3)**","-","-","-","-","-","-","335","2.6","(1.0)*","304","2.2","(1.0)*","344","4.3","(1.0)","359","1.4","(0.7)**","388","2.9","(0.8)*","398","3.4","(0.9)*","325","2.4","(0.9)*","276","5.0","(1.5)*","284","4.3","(1.1)*"
"",""," 30-39","-","-","-","-","-","-","812","0.7","(0.3)*","245","2.1","(1.1)*","597","1.9","(0.6)*","595","1.4","(0.5)*","527","1.7","(0.7)*","444","1.2","(0.6)*","389","1.0","(0.7)**","-","-","-","-","-","-","299","0.9","(0.6)**","457","2.4","(0.7)*","405","1.5","(0.5)*","416","2.4","(0.8)*","424","1.6","(0.7)*","338","4.1","(1.1)*","284","4.3","(1.3)*","294","2.7","(0.9)*","303","3.8","(1.2)*"
"",""," 40-49","-","-","-","-","-","-","872","0.9","(0.4)*","247","0.0","( - )3)","580","0.9","(0.4)*","642","0.7","(0.4)**","532","1.7","(0.6)*","452","2.0","(0.7)*","401","2.2","(1.0)*","-","-","-","-","-","-","397","1.6","(0.7)*","500","2.4","(0.7)*","496","2.0","(0.7)*","475","2.1","(0.7)*","483","3.9","(1.1)*","419","1.7","(0.6)*","435","1.4","(0.5)*","348","3.9","(1.0)*","420","3.3","(1.0)*"
"",""," 50-59","-","-","-","-","-","-","579","0.7","(0.4)**","205","1.5","(1.2)**","489","1.1","(0.5)*","543","1.4","(0.6)*","481","0.5","(0.2)**","508","1.9","(0.7)*","434","1.3","(0.7)**","-","-","-","-","-","-","485","2.1","(0.7)*","451","2.0","(0.7)*","541","2.3","(0.7)*","500","1.2","(0.5)*","477","2.7","(0.8)*","481","1.8","(0.7)*","422","4.0","(1.1)*","396","2.7","(0.9)*","438","3.7","(1.0)*"
"",""," 60-69","-","-","-","-","-","-","445","1.1","(0.6)**","217","1.6","(0.8)**","440","0.6","(0.4)**","540","2.1","(1.0)*","473","1.7","(0.7)*","460","1.8","(0.8)*","432","1.6","(0.7)*","-","-","-","-","-","-","460","1.9","(0.5)*","441","1.2","(0.6)*","470","2.2","(0.7)*","499","2.2","(0.8)*","487","1.2","(0.5)*","483","1.9","(1.0)**","480","2.2","(0.7)*","489","0.9","(0.4)*","573","1.3","(0.5)*"
"",""," 70+","-","-","-","-","-","-","219","1.8","(0.9)*","183","1.2","(0.8)**","365","1.5","(0.7)*","431","3.0","(0.9)*","384","0.9","(0.5)**","408","1.1","(0.6)**","400","0.9","(0.4)*","-","-","-","-","-","-","376","0.6","(0.5)**","439","3.4","(0.9)*","462","3.2","(0.9)*","464","1.5","(0.7)*","486","3.1","(0.9)*","507","1.5","(0.6)*","536","1.9","(0.5)*","484","1.5","(0.7)*","499","1.6","(0.6)*"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",""," 19-64","-","-","-","-","-","-","3,082","0.8","(0.2)","937","1.4","(0.5)*","2,256","1.4","(0.3)","2,545","1.3","(0.2)","2,091","1.3","(0.3)","1,940","1.9","(0.4)","1,708","1.3","(0.3)*","-","-","-","-","-","-","1,743","1.7","(0.3)","1,919","2.1","(0.4)","2,032","2.4","(0.4)","2,035","1.8","(0.3)","2,033","2.7","(0.4)","1,913","2.6","(0.4)","1,721","2.9","(0.5)","1,551","3.2","(0.5)","1,734","3.5","(0.5)"
"",""," 65+","-","-","-","-","-","-","428","1.3","(0.6)*","301","1.4","(0.7)*","581","1.1","(0.4)*","691","2.8","(0.7)*","613","1.3","(0.5)*","620","1.7","(0.7)*","601","0.7","(0.3)*","-","-","-","-","-","-","609","1.6","(0.5)*","673","2.8","(0.6)","686","3.1","(0.7)","678","2.1","(0.8)*","712","2.4","(0.6)*","713","1.8","(0.6)*","761","2.0","(0.5)","736","1.6","(0.5)*","783","1.4","(0.4)*"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","거주지역","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
